ts,block_type,n_blocks
2018/11/29 4:57:09 AM,blocks_dup,0
2018/11/29 4:59:11 AM,blocks_recv,0
2018/11/29 4:59:11 AM,blocks_sent,26
2018/11/29 4:59:11 AM,blocks_dup,0
2018/11/29 5:01:14 AM,blocks_recv,0
2018/11/29 5:01:14 AM,blocks_sent,26
2018/11/29 5:01:14 AM,blocks_dup,0
2018/11/29 5:03:17 AM,blocks_recv,0
2018/11/29 5:03:17 AM,blocks_sent,26
2018/11/29 5:03:17 AM,blocks_dup,0
2018/11/29 5:05:19 AM,blocks_recv,0
2018/11/29 5:05:19 AM,blocks_sent,26
2018/11/29 5:05:19 AM,blocks_dup,0
2018/11/29 5:07:22 AM,blocks_recv,0
2018/11/29 5:07:22 AM,blocks_sent,26
2018/11/29 5:07:22 AM,blocks_dup,0
2018/11/29 5:09:24 AM,blocks_recv,0
2018/11/29 5:09:24 AM,blocks_sent,26
2018/11/29 5:09:24 AM,blocks_dup,0
2018/11/29 5:11:26 AM,blocks_recv,0
2018/11/29 5:11:26 AM,blocks_sent,26
2018/11/29 5:11:26 AM,blocks_dup,0
2018/11/29 5:13:29 AM,blocks_recv,0
2018/11/29 5:13:29 AM,blocks_sent,26
2018/11/29 5:13:29 AM,blocks_dup,0
2018/11/29 5:15:32 AM,blocks_recv,0
2018/11/29 5:15:32 AM,blocks_sent,26
2018/11/29 5:15:32 AM,blocks_dup,0
2018/11/29 5:17:36 AM,blocks_recv,0
2018/11/29 5:17:36 AM,blocks_sent,26
2018/11/29 5:17:36 AM,blocks_dup,0
2018/11/29 5:19:39 AM,blocks_recv,0
2018/11/29 5:19:39 AM,blocks_sent,26
2018/11/29 5:19:39 AM,blocks_dup,0
2018/11/29 5:21:44 AM,blocks_recv,0
2018/11/29 5:21:44 AM,blocks_sent,26
2018/11/29 5:21:44 AM,blocks_dup,0
2018/11/29 5:23:47 AM,blocks_recv,0
2018/11/29 5:23:47 AM,blocks_sent,26
2018/11/29 5:23:47 AM,blocks_dup,0
2018/11/29 5:25:50 AM,blocks_recv,0
2018/11/29 5:25:50 AM,blocks_sent,26
2018/11/29 5:25:50 AM,blocks_dup,0
2018/11/29 5:27:53 AM,blocks_recv,0
2018/11/29 5:27:53 AM,blocks_sent,26
2018/11/29 5:27:53 AM,blocks_dup,0
2018/11/29 5:29:56 AM,blocks_recv,0
2018/11/29 5:29:56 AM,blocks_sent,26
2018/11/29 5:29:56 AM,blocks_dup,0
2018/11/29 5:31:59 AM,blocks_recv,0
2018/11/29 5:31:59 AM,blocks_sent,26
2018/11/29 5:31:59 AM,blocks_dup,0
2018/11/29 5:34:01 AM,blocks_recv,0
2018/11/29 5:34:01 AM,blocks_sent,26
2018/11/29 5:34:01 AM,blocks_dup,0
2018/11/29 5:36:04 AM,blocks_recv,0
2018/11/29 5:36:04 AM,blocks_sent,26
2018/11/29 5:36:04 AM,blocks_dup,0
2018/11/29 5:38:07 AM,blocks_recv,0
2018/11/29 5:38:07 AM,blocks_sent,26
2018/11/29 5:38:07 AM,blocks_dup,0
2018/11/29 5:40:11 AM,blocks_recv,0
2018/11/29 5:40:11 AM,blocks_sent,26
2018/11/29 5:40:11 AM,blocks_dup,0
2018/11/29 5:42:13 AM,blocks_recv,0
2018/11/29 5:42:13 AM,blocks_sent,27
2018/11/29 5:42:13 AM,blocks_dup,0
2018/11/29 5:44:16 AM,blocks_recv,0
2018/11/29 5:44:16 AM,blocks_sent,27
2018/11/29 5:44:16 AM,blocks_dup,0
2018/11/29 5:46:19 AM,blocks_recv,0
2018/11/29 5:46:19 AM,blocks_sent,27
2018/11/29 5:46:19 AM,blocks_dup,0
2018/11/29 5:48:22 AM,blocks_recv,0
2018/11/29 5:48:22 AM,blocks_sent,27
2018/11/29 5:48:22 AM,blocks_dup,0
2018/11/29 5:50:26 AM,blocks_recv,0
2018/11/29 5:50:26 AM,blocks_sent,27
2018/11/29 5:50:26 AM,blocks_dup,0
2018/11/29 5:52:28 AM,blocks_recv,0
2018/11/29 5:52:28 AM,blocks_sent,27
2018/11/29 5:52:28 AM,blocks_dup,0
2018/11/29 5:54:30 AM,blocks_recv,0
2018/11/29 5:54:30 AM,blocks_sent,27
2018/11/29 5:54:30 AM,blocks_dup,0
2018/11/29 5:56:35 AM,blocks_recv,0
2018/11/29 5:56:35 AM,blocks_sent,27
2018/11/29 5:56:35 AM,blocks_dup,0
2018/11/29 5:58:38 AM,blocks_recv,0
2018/11/29 5:58:38 AM,blocks_sent,27
2018/11/29 5:58:38 AM,blocks_dup,0
2018/11/29 6:00:43 AM,blocks_recv,0
2018/11/29 6:00:43 AM,blocks_sent,27
2018/11/29 6:00:43 AM,blocks_dup,0
2018/11/29 6:02:46 AM,blocks_recv,0
2018/11/29 6:02:46 AM,blocks_sent,27
2018/11/29 6:02:46 AM,blocks_dup,0
2018/11/29 6:04:49 AM,blocks_recv,0
2018/11/29 6:04:49 AM,blocks_sent,27
2018/11/29 6:04:49 AM,blocks_dup,0
2018/11/29 6:06:52 AM,blocks_recv,0
2018/11/29 6:06:52 AM,blocks_sent,27
2018/11/29 6:06:52 AM,blocks_dup,0
2018/11/29 6:08:54 AM,blocks_recv,0
2018/11/29 6:08:54 AM,blocks_sent,27
2018/11/29 6:08:54 AM,blocks_dup,0
2018/11/29 6:10:56 AM,blocks_recv,0
2018/11/29 6:10:56 AM,blocks_sent,27
2018/11/29 6:10:56 AM,blocks_dup,0
2018/11/29 6:12:59 AM,blocks_recv,0
2018/11/29 6:12:59 AM,blocks_sent,27
2018/11/29 6:12:59 AM,blocks_dup,0
2018/11/29 6:15:02 AM,blocks_recv,0
2018/11/29 6:15:02 AM,blocks_sent,27
2018/11/29 6:15:02 AM,blocks_dup,0
2018/11/29 6:17:07 AM,blocks_recv,0
2018/11/29 6:17:07 AM,blocks_sent,27
2018/11/29 6:17:07 AM,blocks_dup,0
2018/11/29 6:19:10 AM,blocks_recv,0
2018/11/29 6:19:10 AM,blocks_sent,27
2018/11/29 6:19:10 AM,blocks_dup,0
2018/11/29 6:21:14 AM,blocks_recv,0
2018/11/29 6:21:14 AM,blocks_sent,27
2018/11/29 6:21:14 AM,blocks_dup,0
2018/11/29 6:23:17 AM,blocks_recv,0
2018/11/29 6:23:17 AM,blocks_sent,27
2018/11/29 6:23:17 AM,blocks_dup,0
2018/11/29 6:25:22 AM,blocks_recv,0
2018/11/29 6:25:22 AM,blocks_sent,27
2018/11/29 6:25:22 AM,blocks_dup,0
2018/11/29 6:27:25 AM,blocks_recv,0
2018/11/29 6:27:25 AM,blocks_sent,27
2018/11/29 6:27:25 AM,blocks_dup,0
2018/11/29 6:29:29 AM,blocks_recv,0
2018/11/29 6:29:29 AM,blocks_sent,27
2018/11/29 6:29:29 AM,blocks_dup,0
2018/11/29 6:31:33 AM,blocks_recv,0
2018/11/29 6:31:33 AM,blocks_sent,27
2018/11/29 6:31:33 AM,blocks_dup,0
2018/11/29 6:33:36 AM,blocks_recv,0
2018/11/29 6:33:36 AM,blocks_sent,27
2018/11/29 6:33:36 AM,blocks_dup,0
2018/11/29 6:35:39 AM,blocks_recv,0
2018/11/29 6:35:39 AM,blocks_sent,27
2018/11/29 6:35:39 AM,blocks_dup,0
2018/11/29 6:37:42 AM,blocks_recv,0
2018/11/29 6:37:42 AM,blocks_sent,28
2018/11/29 6:37:42 AM,blocks_dup,0
2018/11/29 6:39:44 AM,blocks_recv,0
2018/11/29 6:39:44 AM,blocks_sent,28
2018/11/29 6:39:44 AM,blocks_dup,0
2018/11/29 6:41:47 AM,blocks_recv,0
2018/11/29 6:41:47 AM,blocks_sent,28
2018/11/29 6:41:47 AM,blocks_dup,0
